cam_left_stamp,cam_right_stamp
1778013392774988315,1778013392775253852
1778013392802953278,1778013392803284667
1778013392835019074,1778013392835294407
1778013392866956426,1778013392867207648
1778013392898954574,1778013392899225018
1778013392927035333,1778013392927216593
1778013392959020981,1778013392959207370
1778013392991021796,1778013392991205185
1778013393023041926,1778013393023032944
1778013393050777389,1778013393050693981
1778013393083717463,1778013393083931333
1778013393115045667,1778013393115187815
1778013393146976796,1778013393147050926
1778013393174961555,1778013393175031704
1778013393206950685,1778013393207013111
1778013393238950889,1778013393239017833
1778013393266959944,1778013393267025778
1778013393298967018,1778013393299003629
1778013393330958203,1778013393331025889
1778013393362977963,1778013393363019907
1778013393390973870,1778013393391044777
1778013393422981148,1778013393423038889
1778013393454973055,1778013393455048296
1778013393486982426,1778013393487032555
1778013393514998037,1778013393515069092
1778013393546991185,1778013393547040926
1778013393579050796,1778013393579042351
1778013393610988351,1778013393611243333
1778013393639005518,1778013393639458111
1778013393671021833,1778013393671437518
1778013393703007370,1778013393703439499
1778013393731015907,1778013393731431814
1778013393763065166,1778013393763429481
1778013393795082407,1778013393795443518
1778013393827073018,1778013393827439129
1778013393855078111,1778013393855428333
1778013393887064055,1778013393887462999
1778013393919079685,1778013393919422592
1778013393951089925,1778013393951434203
1778013393978818370,1778013393979418314
1778013394011786462,1778013394012139647
1778013394043084573,1778013394043337259
1778013394075012999,1778013394075265499
1778013394102990721,1778013394103250851
1778013394135000888,1778013394135269333
1778013394167012129,1778013394167259796
1778013394195001351,1778013394199271573
1778013394227006703,1778013394227253166
1778013394259001221,1778013394259261092
1778013394291017147,1778013394291256295
1778013394319017814,1778013394319278444
1778013394351014703,1778013394351259629
1778013394383040036,1778013394383314518
1778013394415029944,1778013394415289925
1778013394443021388,1778013394443283795
1778013394475069055,1778013394475309351
1778013394507036758,1778013394507308684
1778013394539046647,1778013394539294129
1778013394567038110,1778013394567298888
1778013394599061388,1778013394599311203
1778013394631056517,1778013394631318332
1778013394659062980,1778013394663336332
1778013394691046369,1778013394691302777
1778013394723049332,1778013394723317425
1778013394755061332,1778013394755349591
1778013394783062740,1778013394783310221
1778013394815076536,1778013394815323721
1778013394847053869,1778013394847321406
1778013394879065628,1778013394879125647
1778013394906862962,1778013394906747684
1778013394939804332,1778013394940016647
1778013394971123795,1778013394971203851
1778013395003055054,1778013395003177332
1778013395031046110,1778013395031099036
1778013395063055962,1778013395063145480
1778013395095044628,1778013395095106184
1778013395123048517,1778013395127154110
1778013395155057591,1778013395155113165
1778013395187066017,1778013395187127462
1778013395219054110,1778013395219119036
1778013395247056887,1778013395247130036
1778013395279061591,1778013395279127702
1778013395311061276,1778013395311129924
1778013395343065869,1778013395343139202
1778013395371069017,1778013395371145221
1778013395403104702,1778013395403155498
1778013395435096369,1778013395435354517
1778013395467087850,1778013395467344869
1778013395495110628,1778013395495357980
1778013395527112628,1778013395527361572
1778013395559092091,1778013395559350591
1778013395587097332,1778013395591362424
1778013395619149887,1778013395619375684
1778013395651112091,1778013395651369239
1778013395683114091,1778013395683378128
1778013395711091258,1778013395711356572
1778013395743095072,1778013395743368943
1778013395775103220,1778013395775544609
1778013395807126739,1778013395807609072
1778013395834994239,1778013395835908461
1778013395867885887,1778013395868440424
1778013395899194702,1778013395899635906
1778013395931172924,1778013395931600202
1778013395959154943,1778013395959623943
1778013395991152165,1778013395991645369
1778013396023179813,1778013396023720720
1778013396055154294,1778013396055597517
1778013396083157480,1778013396083606331
1778013396115143313,1778013396115610517
1778013396147166794,1778013396147641868
1778013396175156165,1778013396175624424
1778013396207183905,1778013396207643461
1778013396239202146,1778013396239682868
1778013396271218146,1778013396271656405
1778013396299299961,1778013396299662165
1778013396331321553,1778013396331598313
1778013396363244146,1778013396363324479
1778013396395233128,1778013396395100850
1778013396423240128,1778013396423144424
1778013396455233609,1778013396455152016
1778013396487252239,1778013396487150850
1778013396519212331,1778013396519134146
1778013396547215053,1778013396547093479
1778013396579212609,1778013396579138535
1778013396611025757,1778013396611140276
1778013396638858387,1778013396639149683
1778013396670720942,1778013396670977220
1778013396702669072,1778013396702936035
1778013396734667738,1778013396734843868
1778013396762584109,1778013396762758905
1778013396795388850,1778013396795731831
1778013396826830035,1778013396827057738
1778013396858817090,1778013396859062368
1778013396886957868,1778013396887227701
1778013396919119109,1778013396919374794
1778013396951112627,1778013396951359701
1778013396983149331,1778013396983400479
1778013397011139849,1778013397011353516
1778013397043083868,1778013397043306757
1778013397075128035,1778013397075343609
1778013397103105683,1778013397107361146
1778013397135089460,1778013397135320423
1778013397167094720,1778013397167319849
1778013397199064886,1778013397199297868
1778013397227050442,1778013397227285960
1778013397259049979,1778013397259284905
1778013397291044016,1778013397291275720
1778013397323076183,1778013397323296127
1778013397351083960,1778013397351316349
1778013397383036627,1778013397383262868
1778013397415047090,1778013397415274238
1778013397447303331,1778013397447532719
1778013397475333275,1778013397475766516
1778013397507332905,1778013397507748108
1778013397539321905,1778013397539748090
1778013397567322127,1778013397571781849
1778013397599222997,1778013397599673497
1778013397631253201,1778013397631711405
1778013397663490682,1778013397663774645
1778013397691456442,1778013397691734442
1778013397723801682,1778013397724113423
1778013397755349127,1778013397755591960
1778013397787279664,1778013397787529090
1778013397815239293,1778013397815547330
1778013397847272516,1778013397847569849
1778013397879240608,1778013397879510682
1778013397911269256,1778013397911555608
1778013397939272330,1778013397939545497
1778013397971280534,1778013397971571682
1778013398003248756,1778013398003541978
1778013398031244793,1778013398035547201
1778013398063286423,1778013398063580089
1778013398095272960,1778013398095577682
1778013398127285756,1778013398127595052
1778013398155301034,1778013398155571423
1778013398187249867,1778013398187527201
1778013398219272738,1778013398219566163
1778013398251261460,1778013398251542608
1778013398279303163,1778013398279564886
1778013398311306552,1778013398311578626
1778013398343321941,1778013398343605849
1778013398375566997,1778013398375762200
1778013398403291108,1778013398403574812
1778013398435318941,1778013398435409460
1778013398467281830,1778013398467240849
1778013398495314311,1778013398499148497
1778013398527457497,1778013398527224089
1778013398559275515,1778013398559099071
1778013398590961663,1778013398590953385
1778013398618788219,1778013398618876441
1778013398651628793,1778013398651676663
1778013398683164497,1778013398683163904
1778013398715171941,1778013398715209589
1778013398743252052,1778013398743402756
1778013398775263626,1778013398775532237
1778013398807128645,1778013398807409848
1778013398839482071,1778013398839879700
1778013398867250756,1778013398867585830
1778013398899274515,1778013398899549719
1778013398931264145,1778013398931531996
1778013398963313145,1778013398963584089
1778013398991338348,1778013398991612663
1778013399023319126,1778013399023584293
1778013399055210107,1778013399055483033
1778013399083169422,1778013399083398959
1778013399115220441,1778013399115452774
1778013399147398015,1778013399148914607
1778013399179338644,1778013399180710107
1778013399207286996,1778013399207564348
1778013399239345218,1778013399239589811
1778013399271338663,1778013399272720830
1778013399303257070,1778013399304510070
1778013399331267404,1778013399331525570
1778013399363350570,1778013399363593496
1778013399395342422,1778013399395628496
1778013399427334107,1778013399427601626
1778013399455382737,1778013399455638700
1778013399487545996,1778013399487843866
1778013399519504885,1778013399519776811
1778013399547159718,1778013399547384366
1778013399579952959,1778013399580261052
1778013399611360885,1778013399611580255
1778013399643601792,1778013399643814792
1778013399671479718,1778013399671731051
1778013399703358551,1778013399703613607
1778013399735457607,1778013399735704422
1778013399767434959,1778013399767674255
1778013399795500088,1778013399795683237
1778013399827446755,1778013399827708607
1778013399859492625,1778013399859743533
1778013399891586811,1778013399891867311
1778013399919325162,1778013399919578422
1778013399951676774,1778013399951910422
1778013399983438699,1778013399983804199
1778013400011335829,1778013400015693292
1778013400043648311,1778013400043938440
1778013400075702829,1778013400075903588
1778013400107433422,1778013400107495236
1778013400135402773,1778013400135274459
1778013400167495403,1778013400167488273
1778013400199499162,1778013400199439625
1778013400231333829,1778013400231453273
1778013400259269236,1778013400259507607
1778013400291028533,1778013400291345014
1778013400322988273,1778013400323286051
1778013400354984940,1778013400355272940
1778013400382924070,1778013400383209273
1778013400414998440,1778013400415202366
1778013400447028458,1778013400447178718
1778013400474832347,1778013400479003532
1778013400507369495,1778013400507575255
1778013400538973736,1778013400539143051
1778013400571143421,1778013400571377088
1778013400599444588,1778013400599634403
1778013400631330421,1778013400631533532
1778013400663216236,1778013400663402940
1778013400695179847,1778013400695376199
1778013400723158958,1778013400723363829
1778013400755157236,1778013400755342755
1778013400787185217,1778013400787476477
1778013400819271643,1778013400819782773
1778013400847392755,1778013400847943514
1778013400879319495,1778013400879857106
1778013400911166532,1778013400911673903
1778013400939120569,1778013400943647440
1778013400971196162,1778013400971568625
1778013401003412773,1778013401003656051
1778013401035380403,1778013401035650440
1778013401063364662,1778013401063628273
1778013401095405403,1778013401095656884
1778013401127424865,1778013401127590828
1778013401159314328,1778013401159455088
1778013401187352717,1778013401187546365
1778013401219600273,1778013401219787495
1778013401251627476,1778013401251817495
