cam_left_stamp,cam_right_stamp
1778013810633976866,1778013810634798455
1778013810659855405,1778013810660152049
1778013810691136769,1778013810691546415
1778013810723040935,1778013810723398169
1778013810751620995,1778013810751898052
1778013810783759711,1778013810783988820
1778013810815898882,1778013810816168395
1778013810846854976,1778013810845574639
1778013810873406357,1778013810867578042
1778013810920541567,1778013810924874557
1778013810939094018,1778013810939882769
1778013810971496662,1778013810970274200
1778013810999214024,1778013810998058143
1778013811031273418,1778013811030148851
1778013811063298568,1778013811062277800
1778013811091098308,1778013811090121724
1778013811123411497,1778013811122387149
1778013811155378674,1778013811154264157
1778013811187872381,1778013811186688549
1778013811215507366,1778013811214266838
1778013811247656630,1778013811246530892
1778013811279617520,1778013811278459966
1778013811311876379,1778013811310724075
1778013811339702058,1778013811338609049
1778013811371518593,1778013811370319719
1778013811404449362,1778013811403241353
1778013811435878319,1778013811436258984
1778013811462996247,1778013811466393775
1778013811495500096,1778013811498340692
1778013811527425647,1778013811530416317
1778013811555495960,1778013811558431528
1778013811587474777,1778013811590536867
1778013811619515197,1778013811622371777
1778013811651513267,1778013811654382933
1778013811680004977,1778013811683456084
1778013811711517283,1778013811714287145
1778013811744285518,1778013811747559776
1778013811776236897,1778013811779481465
1778013811801334631,1778013811806215861
1778013811848580725,1778013811853872206
1778013811867409385,1778013811871336064
1778013811898941277,1778013811899286784
1778013811926935750,1778013811927378991
1778013811958743537,1778013811959165421
1778013811991690117,1778013811991975657
1778013812019274327,1778013812023227177
1778013812051158953,1778013812051361403
1778013812083390500,1778013812083660676
1778013812116114754,1778013812116349312
1778013812144283301,1778013812144856694
1778013812176159987,1778013812176503203
1778013812208404451,1778013812208636673
1778013812240196636,1778013812240477328
1778013812268281402,1778013812268542721
1778013812300109163,1778013812300740592
1778013812332234555,1778013812332599927
1778013812364463833,1778013812364600552
1778013812392262140,1778013812392593525
1778013812424328467,1778013812424770985
1778013812455888560,1778013812456258930
1778013812484063266,1778013812488496416
1778013812516009303,1778013812516219794
1778013812548120029,1778013812548463310
1778013812580136803,1778013812580483079
1778013812607877348,1778013812608080998
1778013812640281957,1778013812640558062
1778013812672129857,1778013812672561616
1778013812704037534,1778013812702670931
1778013812729599308,1778013812723022265
1778013812778251831,1778013812782823794
1778013812796539481,1778013812800221668
1778013812827692568,1778013812826636981
1778013812855380828,1778013812854171235
1778013812887646253,1778013812886464176
1778013812919428217,1778013812918217118
1778013812947690250,1778013812949861021
1778013812979616245,1778013812978208823
1778013813011814482,1778013813010524473
1778013813043706350,1778013813042390135
1778013813071724826,1778013813070271869
1778013813103793806,1778013813102492999
1778013813135796398,1778013813134587842
1778013813167730870,1778013813166685488
1778013813195719679,1778013813194499450
1778013813227826938,1778013813226538824
1778013813259847308,1778013813260093042
1778013813291825169,1778013813292073515
1778013813319630102,1778013813319980869
1778013813351648635,1778013813351950880
1778013813383613270,1778013813384130688
1778013813411949656,1778013813415965905
1778013813443630031,1778013813443957674
1778013813475722257,1778013813476052907
1778013813507752906,1778013813508087197
1778013813535702857,1778013813535998988
1778013813567648144,1778013813567848851
1778013813599687318,1778013813602990757
1778013813631844012,1778013813635183917
1778013813657725027,1778013813666697479
1778013813704939359,1778013813719589804
1778013813725388025,1778013813741652493
1778013813756659143,1778013813763441681
1778013813784247046,1778013813788246618
1778013813816061154,1778013813819953462
1778013813848042448,1778013813851543384
1778013813879977352,1778013813883088183
1778013813908185300,1778013813911647454
1778013813940180391,1778013813943230979
1778013813972309110,1778013813975427758
1778013814000024988,1778013814003834527
1778013814033183158,1778013814036645891
1778013814065121437,1778013814068520473
1778013814097162513,1778013814100483300
1778013814126701201,1778013814128686822
1778013814159033020,1778013814158469011
1778013814189563560,1778013814188790950
1778013814221427859,1778013814216550845
1778013814250102709,1778013814245429249
1778013814281809663,1778013814277063262
1778013814314084640,1778013814309237252
1778013814345175223,1778013814340540621
1778013814373135143,1778013814367947987
1778013814405507668,1778013814401304119
1778013814435453167,1778013814433267653
1778013814459696137,1778013814460677604
1778013814489438564,1778013814489859884
1778013814520238678,1778013814520463004
1778013814552375959,1778013814550646324
1778013814578567344,1778013814576717644
1778013814625169450,1778013814626803601
1778013814646805071,1778013814646789051
1778013814678625952,1778013814678725416
1778013814709308683,1778013814709976218
1778013814744274449,1778013814744722046
1778013814776001423,1778013814776266378
1778013814808613900,1778013814808941893
1778013814836318539,1778013814836220084
1778013814867593722,1778013814867498196
1778013814900228705,1778013814900085685
1778013814928329416,1778013814931670253
1778013814959336397,1778013814959490223
1778013814991428691,1778013814991258770
1778013815025054418,1778013815023213223
1778013815050917420,1778013815050924626
1778013815082377683,1778013815082462354
1778013815114545702,1778013815114654962
1778013815146833555,1778013815146948793
1778013815175170431,1778013815174957352
1778013815206067447,1778013815206080516
1778013815238418104,1778013815238440540
1778013815273110941,1778013815273551161
1778013815301835888,1778013815305094724
1778013815333279531,1778013815336379691
1778013815365207336,1778013815368717516
1778013815393532701,1778013815401093257
1778013815423819085,1778013815427332630
1778013815456040061,1778013815459645532
1778013815491983239,1778013815492845123
1778013815519698867,1778013815520419357
1778013815557050331,1778013815561784343
1778013815581641397,1778013815582866967
1778013815612030900,1778013815612914571
1778013815639565600,1778013815640619210
1778013815671783439,1778013815673049675
1778013815703136594,1778013815704385377
1778013815735877194,1778013815737203111
1778013815763955508,1778013815764961742
