cam_left_stamp,cam_right_stamp
1.7780141494498158e+18,1.7780141494495785e+18
1.7780141494817213e+18,1.7780141494814495e+18
1.7780141495134042e+18,1.7780141495131597e+18
1.778014149545514e+18,1.7780141495452406e+18
1.7780141495738954e+18,1.7780141495736466e+18
1.778014149605535e+18,1.7780141496052744e+18
1.7780141496375736e+18,1.7780141496373222e+18
1.778014149669579e+18,1.778014149669322e+18
1.7780141496964675e+18,1.778014149696242e+18
1.7780141497314386e+18,1.778014149734878e+18
1.7780141497337536e+18,1.77801414973704e+18
1.778014149736299e+18,1.7780141497407808e+18
1.778014149741183e+18,1.7780141497429176e+18
1.7780141497439214e+18,1.7780141497450586e+18
1.7780141497491884e+18,1.7780141497488384e+18
1.7780141497518287e+18,1.778014149751025e+18
1.778014149754725e+18,1.7780141497531172e+18
1.7780141497576653e+18,1.7780141497550986e+18
1.7780141497603282e+18,1.7780141497572257e+18
1.7780141497630216e+18,1.7780141497593247e+18
1.7780141497656968e+18,1.7780141497615808e+18
1.7780141497683487e+18,1.7780141497635937e+18
1.7780141497708477e+18,1.778014149769277e+18
1.7780141497748605e+18,1.778014150256817e+18
1.7780141502566426e+18,1.7780141502849516e+18
1.778014150284737e+18,1.778014150316868e+18
1.778014150316696e+18,1.7780141503489116e+18
1.7780141503487667e+18,1.7780141503769336e+18
1.7780141503767657e+18,1.7780141504088724e+18
1.77801415040872e+18,1.7780141504408689e+18
1.7780141504406774e+18,1.7780141504727987e+18
1.778014150472621e+18,1.77801415050072e+18
1.7780141505005601e+18,1.7780141505330345e+18
1.778014150532883e+18,1.778014150564805e+18
1.778014150564592e+18,1.778014150596898e+18
1.7780141505967575e+18,1.7780141506247987e+18
1.7780141506239593e+18,1.778014150662702e+18
1.7780141506588255e+18,1.7780141506647905e+18
1.778014150661242e+18,1.7780141506665925e+18
1.7780141506639e+18,1.7780141506686328e+18
1.7780141506664714e+18,1.7780141506706972e+18
1.778014150668958e+18,1.77801415067264e+18
1.7780141506715205e+18,1.778014150674676e+18
1.7780141506741105e+18,1.7780141506768978e+18
1.7780141506767398e+18,1.7780141506788897e+18
1.778014150679255e+18,1.778014150681004e+18
1.7780141506817434e+18,1.778014150683074e+18
1.7780141506844652e+18,1.7780141506870436e+18
