timestamp_ms,thruster0,thruster1,thruster2,thruster3,thruster4,thruster5,thruster6,thruster7,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
18786296,0.00,0.00,0.00,0.00,14.00,-14.00,14.00,-14.00,-0.03,0.02,0.07,-0.01,-0.00,0.00
18786305,0.00,0.00,0.00,0.00,14.00,-14.00,14.00,-14.00,-0.03,0.02,0.11,-0.01,0.00,0.00
18786315,0.00,0.00,0.00,0.00,14.00,-14.00,14.00,-14.00,-0.03,-0.02,-0.07,0.01,-0.12,-0.00
18786325,0.00,0.00,0.00,0.00,14.00,-14.00,14.00,-14.00,-0.02,0.02,0.02,0.01,-0.19,0.00
18786336,0.00,0.00,0.00,0.00,14.00,-14.00,14.00,-14.00,-0.02,0.02,0.01,0.04,-0.34,0.00
18786345,0.00,0.00,0.00,0.00,14.00,-14.00,14.00,-14.00,-0.01,-0.02,-0.16,0.05,-0.44,0.00
18786355,0.00,0.00,0.00,0.00,14.00,-14.00,14.00,-14.00,-0.01,0.03,0.00,0.05,-0.50,-0.00
18786365,0.00,0.00,0.00,0.00,14.00,-14.00,14.00,-14.00,-0.01,-0.02,0.06,0.06,-0.62,0.00
18786375,0.00,0.00,0.00,0.00,14.00,-14.00,14.00,-14.00,-0.01,0.02,0.21,0.07,-0.68,0.00
18786386,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.01,0.02,0.37,0.08,-0.79,0.00
18786395,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.02,0.54,0.08,-0.88,-0.00
18786406,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.01,0.84,0.09,-0.95,-0.00
18786415,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.01,-0.05,1.57,0.09,-0.90,-0.00
18786425,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,1.42,0.10,-0.87,0.00
18786435,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.01,-0.00,1.71,0.10,-0.82,-0.00
18786445,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.07,2.36,0.10,-0.77,0.00
18786455,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.01,-0.01,2.02,0.11,-0.74,0.00
18786465,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.02,-0.01,2.12,0.11,-0.69,0.00
18786475,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.02,-0.01,2.24,0.11,-0.66,-0.00
18786485,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.03,-0.01,2.27,0.11,-0.63,-0.00
18786495,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.01,-0.07,2.35,0.12,-0.60,-0.00
18786505,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.03,-0.01,2.18,0.12,-0.58,-0.00
