timestamp,pos_error_x,pos_error_y,pos_error_z,orient_error_x,orient_error_y,orient_error_z
1771606131.590465,-1.000000,4.000000,-1.000000,-0.750640,-0.149307,-0.360471
1771606131.600791,-1.000000,4.000000,-1.000000,-0.727399,-0.142237,-0.331102
1771606131.611107,-1.000000,4.000000,-1.000000,-0.705033,-0.135465,-0.303070
1771606131.621329,-1.000000,4.000000,-1.000000,-0.683536,-0.128984,-0.276333
1771606131.631582,-1.000000,4.000000,-1.000000,-0.662895,-0.122785,-0.250844
1771606131.642051,-1.000000,4.000000,-1.000000,-0.643095,-0.116861,-0.226557
1771606131.652469,-1.000000,4.000000,-1.000000,-0.624117,-0.111202,-0.203426
1771606131.662705,-1.000000,4.000000,-1.000000,-0.605941,-0.105800,-0.181403
1771606131.673024,-1.000000,4.000000,-1.000000,-0.588546,-0.100646,-0.160442
1771606131.683226,-1.000000,4.000000,-1.000000,-0.571907,-0.095731,-0.140499
1771606131.693464,-1.000000,4.000000,-1.000000,-0.556001,-0.091044,-0.121528
1771606131.703743,-1.000000,4.000000,-1.000000,-0.540804,-0.086578,-0.103488
1771606131.714010,-1.000000,4.000000,-1.000000,-0.526291,-0.082322,-0.086334
1771606131.724260,-1.000000,4.000000,-1.000000,-0.512436,-0.078269,-0.070027
1771606131.734487,-1.000000,4.000000,-1.000000,-0.499216,-0.074410,-0.054528
1771606131.744896,-1.000000,4.000000,-1.000000,-0.486605,-0.070736,-0.039798
1771606131.755219,-1.000000,4.000000,-1.000000,-0.474578,-0.067239,-0.025800
1771606131.765668,-1.000000,4.000000,-1.000000,-0.463114,-0.063911,-0.012500
1771606131.775945,-1.002060,4.005385,-0.995407,-0.452116,-0.062290,0.000433
1771606131.786291,-1.002060,4.005385,-0.995407,-0.441650,-0.059276,0.012456
1771606131.796605,-1.002164,4.005418,-0.997789,-0.431293,-0.056380,0.023845
1771606131.807055,-1.002245,4.005337,-0.990572,-0.420566,-0.053564,0.034718
1771606131.817620,-1.002245,4.005337,-0.990572,-0.411468,-0.050979,0.045029
1771606131.827896,-1.002245,4.005337,-0.990572,-0.402806,-0.048521,0.054822
1771606131.838246,-1.002245,4.005337,-0.990572,-0.394560,-0.046185,0.064124
1771606131.848675,-1.002245,4.005337,-0.990572,-0.386712,-0.043963,0.072958
1771606131.858936,-1.002335,4.005122,-0.997334,-0.377232,-0.041706,0.081368
1771606131.869200,-1.002335,4.005122,-0.997334,-0.370196,-0.039706,0.089335
1771606131.879792,-1.002580,4.003567,-0.988396,-0.355942,-0.037209,0.096962
1771606131.890047,-1.002740,4.002552,-0.989261,-0.343931,-0.035036,0.104204
1771606131.900394,-1.002740,4.002552,-0.989261,-0.337786,-0.033364,0.111049
1771606131.911003,-1.002847,4.001878,-0.984454,-0.328323,-0.031543,0.117576
1771606131.921268,-1.002847,4.001878,-0.984454,-0.322712,-0.030043,0.123756
1771606131.931473,-1.002995,4.000983,-0.984991,-0.312964,-0.028346,0.129631
1771606131.941851,-1.003133,3.999990,-0.983347,-0.303077,-0.026741,0.135279
1771606131.952102,-1.003133,3.999990,-0.983347,-0.298240,-0.025479,0.140583
1771606131.962373,-1.003251,3.999081,-0.982816,-0.289238,-0.024068,0.145623
1771606131.972769,-1.003251,3.999081,-0.982816,-0.284861,-0.022939,0.150413
1771606131.983065,-1.003369,3.998086,-0.987314,-0.276130,-0.021652,0.154960
1771606131.993355,-1.003549,3.996200,-0.995704,-0.264788,-0.020328,0.159274
1771606132.003586,-1.003549,3.996200,-0.995704,-0.261168,-0.019384,0.163384
1771606132.013881,-1.003653,3.995043,-0.987802,-0.253425,-0.018279,0.167328
1771606132.024137,-1.003653,3.995043,-0.987802,-0.250070,-0.017435,0.171043
1771606132.034428,-1.003653,3.995043,-0.987802,-0.246882,-0.016633,0.174572
1771606132.044710,-1.003766,3.993648,-0.992898,-0.239259,-0.015570,0.177996
1771606132.055002,-1.003960,3.991292,-0.985135,-0.229282,-0.014433,0.181285
1771606132.065422,-1.003960,3.991292,-0.985135,-0.226519,-0.013763,0.184323
1771606132.075691,-1.004053,3.989987,-0.979616,-0.220221,-0.012874,0.187258
1771606132.085956,-1.004167,3.988421,-0.981792,-0.213632,-0.011961,0.190030
1771606132.097251,-1.004167,3.988421,-0.981792,-0.211234,-0.011397,0.192645
1771606132.107482,-1.004284,3.986925,-0.978522,-0.205236,-0.010623,0.195144
1771606132.117926,-1.004396,3.985413,-0.975893,-0.199457,-0.009861,0.197559
1771606132.128484,-1.004396,3.985413,-0.975893,-0.197342,-0.009386,0.199813
