timestamp_ms,thruster0,thruster1,thruster2,thruster3,thruster4,thruster5,thruster6,thruster7,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
17885767,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.04,0.04,-0.30,-0.01,0.00,0.00
17885777,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.03,0.01,-0.22,-0.01,-0.00,0.00
17885787,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.60,0.02,4.34,0.01,-0.00,0.00
17885797,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.65,0.04,3.94,0.02,-0.00,0.00
17885807,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.57,-0.03,3.98,0.04,-0.00,0.01
17885817,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.56,-0.03,3.25,0.05,-0.00,0.00
17885827,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.63,0.00,3.21,0.06,-0.00,0.01
17885837,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.52,-0.04,2.79,0.07,-0.00,0.01
17885847,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.53,-0.01,2.85,0.07,-0.00,0.01
17885857,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.46,-0.02,2.40,0.08,-0.00,0.01
17885867,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.48,-0.03,2.50,0.08,-0.00,0.01
17885877,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.42,-0.08,2.09,0.08,-0.00,0.01
17885887,8.00,-8.00,8.00,-8.00,0.00,0.00,0.00,0.00,-0.49,-0.06,2.17,0.09,-0.00,0.01
17885897,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.46,0.01,1.91,0.09,-0.00,0.01
17885907,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.48,-0.00,1.92,0.09,-0.00,0.01
17885917,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.17,-0.00,-0.39,0.09,-0.00,0.01
17885927,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.30,-0.00,-0.42,0.09,-0.00,0.01
17885937,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.24,0.03,-0.31,0.08,-0.00,0.01
17885947,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.23,0.02,-0.37,0.07,-0.00,0.01
17885957,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.20,-0.00,-0.37,0.07,-0.00,0.01
17885967,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.15,0.03,-0.34,0.06,-0.00,0.01
17885977,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.18,0.04,-0.38,0.06,-0.00,0.01
17885987,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.22,0.01,-0.35,0.06,0.00,0.01
17885997,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.24,-0.01,-0.29,0.06,-0.00,0.01
17886007,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.23,0.05,-0.25,0.05,0.00,0.01
17886017,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.18,0.01,-0.26,0.05,0.00,0.00
17886027,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.17,0.01,-0.34,0.05,0.00,0.01
17886037,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.09,0.10,-0.27,0.05,0.00,0.00
17886047,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.14,-0.02,-0.25,0.04,0.00,0.00
17886057,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.14,0.02,-0.22,0.04,0.00,0.00
17886067,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.13,0.06,-0.19,0.04,0.00,0.00
17886077,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.16,0.04,-0.25,0.04,0.00,0.00
17886087,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.07,0.00,-0.27,0.04,0.00,0.00
17886097,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.11,0.02,-0.18,0.04,0.00,-0.00
17886107,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.20,-0.02,1.94,0.05,0.00,0.00
17886117,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.12,0.07,-0.29,0.05,0.00,0.00
17886127,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.17,0.05,-0.27,0.04,0.01,0.00
17886137,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.08,-0.05,-0.29,0.04,0.00,-0.00
17886147,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.12,-0.01,-0.26,0.04,0.00,0.00
17886157,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.12,-0.01,1.84,0.05,0.00,-0.00
17886167,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.08,-0.00,-0.25,0.05,0.00,0.00
17886177,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.10,0.04,-0.33,0.05,0.00,0.00
17886187,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.10,0.04,-0.33,0.05,0.00,0.00
17886197,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,-0.01,0.05,-0.30,0.05,0.00,0.00
17886207,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.12,0.08,1.87,0.06,0.00,0.00
17886217,0.00,0.00,0.00,0.00,-19.00,-19.00,-19.00,-19.00,0.10,0.00,-0.44,0.05,-0.00,0.00
